id,accommodates,bathrooms,bedrooms,price,cleaning_fee,security_deposit,extra_people,guests_included,distance,size,host_has_profile_pic,host_response_time,host_response_rate,host_is_superhost,number_of_reviews,review_scores_rating,neighbourhood_group_cleansed,longitude,latitude,property_type,room_type,bed_type,minimum_nights,instant_bookable,is_business_travel_ready,geometry
2015,3,1.0,1,60,30,200,28,1,3.533182004,75.0,t,0.0,96.0,0,118,93.0,Mitte,13.40255693,52.53453732,9,1,Real Bed,4,1,f,POINT (13.40255692682239 52.53453732241747)
2695,2,1.0,1,17,0,0,0,1,5.085573389,25.0,t,NaN,NaN,1,6,100.0,Pankow,13.40455283,52.54851279,0,0,Real Bed,2,1,f,POINT (13.40455282658746 52.54851279221664)
3176,4,1.0,1,90,50,200,20,2,3.695676837,68.0,t,2.0,100.0,1,143,92.0,Pankow,13.41757867,52.53499619,0,1,Real Bed,62,0,f,POINT (13.41757866533329 52.53499619158672)
3309,2,1.0,1,26,30,250,18,1,3.755284599,26.0,t,NaN,NaN,1,25,88.0,Tempelhof - Schöneberg,13.34906453,52.49885493,0,0,Pull-out Sofa,5,1,f,POINT (13.34906453348717 52.49885493313003)
7071,2,1.0,1,42,0,0,24,1,4.550423394,20.0,t,0.0,100.0,0,197,96.0,Pankow,13.4150911,52.54315726,0,0,Real Bed,2,1,f,POINT (13.41509110451571 52.54315726331311)
14325,2,1.0,0,70,0,500,0,1,5.012296931,56.69728052,t,2.0,100.0,1,23,93.0,Pankow,13.40556224,52.54784641,0,1,Real Bed,90,1,f,POINT (13.40556224372246 52.54784640799215)
16401,2,1.0,1,120,0,0,13,1,3.733804518,55.0,t,NaN,NaN,1,0,NaN,Friedrichshain-Kreuzberg,13.45785024,52.510514,0,0,Real Bed,30,1,f,POINT (13.4578502381062 52.51051399601543)
16644,5,1.0,1,90,50,500,20,2,2.105809614,80.0,t,1.0,100.0,1,48,94.0,Friedrichshain-Kreuzberg,13.43510185,52.50479227,0,1,Real Bed,60,1,f,POINT (13.43510185388605 52.50479227385915)
17409,2,1.0,1,45,18,0,26,1,2.982036376,25.0,t,0.0,100.0,0,279,96.0,Pankow,13.41284339,52.52907092,1,0,Real Bed,3,1,f,POINT (13.41284339398494 52.52907092467377)
20858,4,1.0,2,129,49,500,24,2,3.807207074,97.75690567,t,0.0,100.0,1,56,87.0,Pankow,13.40761503,52.53695243,2,1,Real Bed,3,1,f,POINT (13.40761503262154 52.53695243192395)
21869,4,1.0,1,70,40,500,18,2,2.061292142,75.83159184,t,1.0,100.0,1,60,95.0,Friedrichshain-Kreuzberg,13.43461986,52.50273333,0,1,Real Bed,60,1,f,POINT (13.43461985785277 52.5027333340694)
22415,4,1.0,2,98,50,300,25,2,1.8682546,88.77883833,t,1.0,75.0,0,61,94.0,Friedrichshain-Kreuzberg,13.4285006,52.49485062,0,1,Real Bed,3,1,f,POINT (13.42850059814037 52.49485061986592)
22677,5,1.0,1,160,40,150,35,4,3.511787306,70.0,t,0.0,100.0,0,223,94.0,Mitte,13.40557652,52.53434836,0,1,Real Bed,3,1,f,POINT (13.40557651719143 52.53434836322022)
23834,4,1.0,1,65,50,500,0,1,2.200622358,50.0,t,2.0,80.0,1,96,87.0,Friedrichshain-Kreuzberg,13.37974758,52.48971443,1,1,Real Bed,60,1,f,POINT (13.37974757540896 52.48971442632367)
24569,4,2.5,2,90,35,200,5,2,3.254164136,150.0,t,2.0,100.0,1,18,94.0,Pankow,13.41808444,52.53079085,0,1,Real Bed,3,1,f,POINT (13.41808443901994 52.53079085230837)
25653,4,2.5,2,90,55,200,5,2,3.226366197,150.0,t,2.0,100.0,1,5,100.0,Pankow,13.41946696,52.53025874,0,1,Real Bed,4,1,f,POINT (13.41946696226381 52.53025873628243)
26543,8,2.0,2,197,50,250,40,4,4.73599909,84.0,t,NaN,NaN,1,163,91.0,Pankow,13.42137652,52.54406239,0,1,Real Bed,3,0,f,POINT (13.42137652198828 52.54406239119687)
28156,2,1.0,0,70,0,1660,0,1,4.886509347,60.68084574,t,2.0,100.0,1,28,92.0,Pankow,13.40511702,52.54671937,0,1,Real Bed,90,1,f,POINT (13.40511702130443 52.54671936814943)
28268,6,1.0,2,90,50,200,20,4,4.605567039,75.0,t,NaN,NaN,1,30,91.0,Friedrichshain-Kreuzberg,13.46994751,52.51338523,0,1,Real Bed,5,1,f,POINT (13.46994750777965 52.51338523184102)
29279,4,1.0,2,130,80,1500,0,2,4.538184157,25.0,t,1.0,100.0,0,69,96.0,Pankow,13.42388316,52.54178765,0,1,Real Bed,60,1,f,POINT (13.42388315889975 52.54178764990126)
30295,8,1.0,2,100,40,0,20,4,4.957658386,100.0,t,0.0,100.0,0,240,95.0,Pankow,13.42235887,52.54596726,0,1,Real Bed,4,0,f,POINT (13.42235887235362 52.54596726018988)
31440,1,1.0,1,44,15,100,15,1,4.650042564,54.45328829,t,2.0,90.0,1,28,89.0,Pankow,13.42245309,52.54308929,0,0,Real Bed,1,1,f,POINT (13.42245309399176 52.5430892935274)
33043,4,1.0,1,62,20,0,8,2,3.801148224,47.0,t,0.0,100.0,1,144,89.0,Mitte,13.3570823,52.52141798,0,1,Real Bed,3,0,f,POINT (13.35708229838907 52.52141797581486)
35642,2,1.0,1,55,50,1000,10,1,5.266471378,75.0,t,NaN,NaN,1,1,NaN,Pankow,13.41822767,52.54936126,0,1,Real Bed,60,0,f,POINT (13.41822766965709 52.54936125502965)
36480,1,0.0,1,40,5,500,20,1,7.159021535,10.0,t,0.0,100.0,1,33,88.0,Charlottenburg-Wilm.,13.30208876,52.51967658,0,0,Real Bed,1,1,f,POINT (13.30208876414164 52.51967658378238)
37004,1,1.0,1,25,0,0,15,1,2.861256479,200.0,t,NaN,NaN,1,21,91.0,Tempelhof - Schöneberg,13.36481314,52.49338924,0,0,Real Bed,5,1,f,POINT (13.36481313504463 52.4933892413189)
37052,2,1.0,1,52,30,100,12,1,3.941157709,65.0,t,2.0,100.0,0,307,95.0,Mitte,13.40462524,52.53822033,0,1,Real Bed,2,1,f,POINT (13.40462524404014 52.53822033434646)
37836,3,1.5,1,39,20,0,19,1,2.4811235,20.0,t,1.0,90.0,1,161,90.0,Friedrichshain-Kreuzberg,13.4401319,52.49847237,0,0,Real Bed,1,1,f,POINT (13.44013189781014 52.49847237312909)
38074,2,1.0,1,80,0,500,0,2,4.048425066,21.0,t,NaN,NaN,1,102,89.0,Pankow,13.42546637,52.53680114,0,1,Real Bed,84,1,f,POINT (13.42546637252866 52.53680114276391)
38296,2,1.0,1,80,35,500,0,2,2.296091102,65.46391635,t,2.0,50.0,1,6,87.0,Neukölln,13.42361908,52.48586261,0,1,Real Bed,10,1,f,POINT (13.4236190809207 52.4858626082932)
41217,2,1.0,1,43,0,0,13,1,3.779876519,53.2343318,t,NaN,NaN,1,70,94.0,Pankow,13.41231045,52.53640787,0,0,Real Bed,2,1,f,POINT (13.41231044897961 52.5364078673576)
41306,2,1.0,1,40,0,0,0,1,3.325619808,46.31104216,t,NaN,NaN,1,1,80.0,Pankow,13.42347848,52.53028018,0,0,Real Bed,1,1,f,POINT (13.42347847724301 52.53028017566882)
42742,3,1.5,1,36,20,0,19,1,2.541131418,35.0,t,1.0,90.0,1,25,85.0,Friedrichshain-Kreuzberg,13.44033972,52.49666752,0,0,Real Bed,1,1,f,POINT (13.44033972223182 52.4966675178124)
42809,4,1.0,2,119,45,0,10,2,3.605956722,2.0,t,0.0,100.0,0,109,98.0,Friedrichshain-Kreuzberg,13.45536168,52.5117598,0,1,Real Bed,4,0,f,POINT (13.45536167972428 52.51175980499001)
